region,global,global,global,global,global
tstep,5,5,5,5,5
numtimes,81,17,37,47,57
yr0,2020,2020,2020,2020,2020
emshare0,0.2173,0.2173,0.2173,0.2173,0.2173
emshare1,0.224,0.224,0.224,0.224,0.224
emshare2,0.2824,0.2824,0.2824,0.2824,0.2824
emshare3,0.2763,0.2763,0.2763,0.2763,0.2763
tau0,1000000,1000000,1000000,1000000,1000000
tau1,394.4,394.4,394.4,394.4,394.4
tau2,36.53,36.53,36.53,36.53,36.53
tau3,4.304,4.304,4.304,4.304,4.304
teq1,0.324,0.324,0.324,0.324,0.324
teq2,0.44,0.44,0.44,0.44,0.44
d1,236,236,236,236,236
d2,4.07,4.07,4.07,4.07,4.07
irf0,32.4,32.4,32.4,32.4,32.4
irC,0.019,0.019,0.019,0.019,0.019
irT,4.165,4.165,4.165,4.165,4.165
fco22x,3.93,3.93,3.93,3.93,3.93
mat0,886.5128014,886.5128014,886.5128014,886.5128014,886.5128014
res00,150.093,150.093,150.093,150.093,150.093
res10,102.698,102.698,102.698,102.698,102.698
res20,39.534,39.534,39.534,39.534,39.534
res30,6.1865,6.1865,6.1865,6.1865,6.1865
mateq,588,588,588,588,588
tbox10,0.1477,0.1477,0.1477,0.1477,0.1477
tbox20,1.099454,1.099454,1.099454,1.099454,1.099454
tatm0,1.24715,1.24715,1.24715,1.24715,1.24715
eland0,5.9,5.9,5.9,5.9,5.9
deland,0.1,0.1,0.1,0.1,0.1
F_Misc2020,-0.054,-0.054,-0.054,-0.054,-0.054
F_Misc2100,0.265,0.265,0.265,0.265,0.265
F_GHGabate2020,0.518,0.518,0.518,0.518,0.518
F_GHGabate2100,0.957,0.957,0.957,0.957,0.957
nonco2frac,0.65,0.65,0.65,0.65,0.65
ECO2eGHGB2020act,15.32307692,15.32307692,15.32307692,15.32307692,15.32307692
ECO2eGHGB2100act,23.84615385,23.84615385,23.84615385,23.84615385,23.84615385
Fcoef1,0.00955,0.00955,0.00955,0.00955,0.00955
Fcoef2,0.861,0.861,0.861,0.861,0.861
gama,0.3,0.3,0.3,0.3,0.3
pop1,7752.9,7752.9,7752.9,7752.9,7752.9
popadj,0.145,0.145,0.145,0.145,0.145
popasym,10825,10825,10825,10825,10825
dk,0.1,0.1,0.1,0.1,0.1
q1,135.7,135.7,135.7,135.7,135.7
AL1,5.84,5.84,5.84,5.84,5.84
gA1,0.066,0.066,0.066,0.066,0.066
delA,0.0015,0.0015,0.0015,0.0015,0.0015
gsigma1,-0.015,-0.015,-0.015,-0.015,-0.015
delgsig,0.96,0.96,0.96,0.96,0.96
asymgsig,-0.005,-0.005,-0.005,-0.005,-0.005
e1,37.56,37.56,37.56,37.56,37.56
miu1,0.05,0.05,0.05,0.05,0.05
miu2,0.1,0.1,0.1,0.1,0.1
fosslim,6000,6000,6000,6000,6000
CumEmiss0,633.5,633.5,633.5,633.5,633.5
emissrat2020,1.4,1.4,1.4,1.4,1.4
emissrat2100,1.21,1.21,1.21,1.21,1.21
a1,0,0,0,0,0
a2base,0.003467,0.003467,0.003467,0.003467,0.003467
a3,2,2,2,2,2
expcost2,2.6,2.6,2.6,2.6,2.6
pback2050,515,515,515,515,515
cprice1,6,6,6,6,6
cpriceup,1000,1000,1000,1000,1000
gcprice,0.025,0.025,0.025,0.025,0.025
gback,-0.012,-0.012,-0.012,-0.012,-0.012
limmiu2070,1,1,1,1,1
limmiu2120,1.1,1.1,1.1,1.1,1.1
limmiu2200,1.05,1.05,1.05,1.05,1.05
limmiu2300,1,1,1,1,1
delmiumax,0.12,0.12,0.12,0.12,0.12
klo,1,1,1,1,1
clo,2,2,2,2,2
cpclo,0.01,0.01,0.01,0.01,0.01
rfactlong1,1000000,1000000,1000000,1000000,1000000
rfactlonglo,0.0001,0.0001,0.0001,0.0001,0.0001
alphalo,0.1,0.1,0.1,0.1,0.1
alphaup,100,100,100,100,100
matlo,10,10,10,10,10
tatmlo,0.5,0.5,0.5,0.5,0.5
tatmup,20,20,20,20,20
sfx2200,0.28,0.28,0.28,0.28,0.28
betaclim,0.5,0.5,0.5,0.5,0.5
elasmu,0.95,0.95,0.95,0.95,0.95
prstp,0.001,0.001,0.001,0.001,0.001
pi,0.05,0.05,0.05,0.05,0.05
k0,295,295,295,295,295
siggc1,0.01,0.01,0.01,0.01,0.01
SRF,1000000,1000000,1000000,1000000,1000000
scale1,0.00891061,0.00891061,0.00891061,0.00891061,0.00891061
scale2,-6275.91,-6275.91,-6275.91,-6275.91,-6275.91
