year,L,aL,sigma,sigmatot,gA,gsig,eland,cost1tot,pbacktime,cpricebase,varpcc,rprecaut,rr,rr1,CO2E_GHGabateB,F_Misc,emissrat,UTILITY,MIU,C,K,CPC,I,S,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCATOT,PERIODU,CPRICE,TOTPERIODU,RFACTLONG,RSHORT,RLONG,FORC,TATM,TBOX1,TBOX2,RES0,RES1,RES2,RES3,MAT,CACC,IRFt,ECO2,ECO2E,EIND,F_GHGabate,alpha,ppm,abaterat,atfrac2020,atfrac1765,FORC_CO2,scc
2020,7752.9,5.84,0.29135476864600707,0.4078966761044099,0.066,-0.015,5.9,0.1090617323932941,695.1772859016417,6.0,0.0,-0.0,1.0,1.0,9.959999998,-0.054,1.4,4476.801283818014,0.05,99.73371976338568,295.0,12.864053420447275,34.424217767572415,0.2565947151627069,134.1579375309581,134.89143646541945,134.1640326021515,0.7274038632679435,0.0053925132857075,0.006095071193412289,5.760332870050511,633.5,1.7247381355909963,5.760332870050511,13371.722291423433,1000000.0,1.0,1.0,2.7918384642977476,1.24715,0.1477,1.099454,150.093,102.698,39.534,6.1865,886.5128014,334.9871986,43.9591365234,42.94120010052435,52.403200098624346,37.33620010052435,0.518,0.4471535905392379,416.2031931455399,4.543205795785135e-05,0.0,0.47121199161464883,2.327838464297747,9.627817018600185
2025,8137.367350850203,6.252676659528908,0.27030248882209557,0.3752136422961714,0.06550685161806313,-0.0144,5.3100000000000005,0.09543026326887588,661.2730895941868,6.788449277343746,0.0005,-0.000225625,0.8790867031950537,0.8780954309205617,10.30624999828125,-0.034062499999999996,1.3881249999999998,,0.1,116.1093885312359,346.3156388446781,14.268667435679259,39.513605026390756,0.25390595645982744,155.62299355762664,156.76400398769653,155.66057145442974,1.1034325332668007,0.007038813153518346,0.03757789680308879,16.610429012740564,692.0561819552605,1.842791013216511,16.610429012740564,13182.316021853334,796666.2318702555,0.04546389369887859,0.04546389369887862,3.013970047334686,1.4248619780964216,0.1650751702110031,1.2597868078854186,162.80806440011142,113.13331736685787,44.75890650412148,7.027345354664619,915.7276336257555,364.32854832950505,45.25679255703219,42.91533039203216,52.19095539048528,38.13633039203216,0.536360099981855,0.5118537798228018,429.91907681960356,0.00024146751032117774,0.4989196061123133,0.4735563924366162,2.511672447352832,56.365178686636334
2030,8481.17060833459,6.69098181228545,0.251524817063623,0.34616102948381117,0.06501738801380214,-0.013824,4.779000000000001,0.08374732639701223,629.0224204524875,7.680507265178139,0.001,-0.00045125,0.7745396070563381,0.7710515858035668,10.6524999985625,-0.014124999999999999,1.37625,,0.23664434191067135,133.81775895914453,402.06394671935124,15.778218024247684,44.91924498787694,0.25131474734348364,178.73700394702146,180.59155956728787,179.09371644434836,1.4978431229394986,0.00829409262829588,0.3567124973268909,62.69312606132816,750.5770870353043,1.9579387722834434,62.69312606132816,12861.704788573259,637965.9778196479,0.04443017097326886,0.04494703233607374,3.196044078864121,1.546705108019217,0.18332277806761116,1.3633823299516057,174.16215887391164,122.24617384280992,48.41908966240878,7.1363578503215805,939.9637802294519,398.6133068058524,46.415679604211235,38.322178443841516,46.45382459054077,34.674101753832616,0.5503882648196045,0.5755192915155661,441.2975494034986,0.0019957394912618223,0.4565451329335059,0.468924220602613,2.659780814044518,66.1196747733365
2035,8786.618184800645,7.156263364162137,0.2347266535787394,0.32025517797649256,0.0645315816547602,-0.013271039999999998,4.301100000000001,0.07370114137493339,598.3446350050658,8.689788998988657,0.0015,-0.000676875,0.6839684848167449,0.6770568744981654,10.998749998843751,0.005812500000000005,1.364375,,0.2671686327879752,153.03874830331034,462.01096484270363,17.41725258621586,50.944667181011646,0.2497490644523854,203.983415484322,206.42259258242532,204.4753119008543,1.9472806815710262,0.009433466837179993,0.4918964165323335,72.41160106862408,802.8346030950883,2.0716671795184802,72.41160106862408,12450.24311323148,512878.3501468049,0.04364925455762977,0.044514439743259075,3.3678372086344566,1.649524394764788,0.2023547041937503,1.4471696905710376,185.61632840294894,131.50713051673227,52.36681747951811,7.792627303324822,965.2829037025242,425.551699392564,47.35575139265405,38.65977449901873,46.72000349829466,35.50779350550309,0.5515415167106573,0.6313853087236215,453.184461832171,0.002411452986824511,0.4651742538797527,0.46993851230208306,2.810483191923799,76.89547431573813
2040,9056.484468787621,7.649925132503061,0.21965682912287354,0.2970858613886865,0.06404940521420154,-0.012740198399999998,3.8709900000000004,0.06503472573145694,569.1630228089585,9.831698641742365,0.002,-0.0009025,0.6053540109381833,0.5945205479701953,11.344999999125001,0.025750000000000002,1.3525,,0.3008609941158974,173.86160316775917,527.5361905388183,19.197471575969452,57.52040030258001,0.2485949617510056,231.38200347033919,234.53335446663334,232.05358884891893,2.479765617714416,0.010573189571921668,0.6715853785797589,83.29560656883929,855.5524774119319,2.184204415531771,83.29560656883929,11974.636852284175,413843.8787763911,0.04290997690690715,0.0441133240341711,3.53653589364711,1.7463290907828872,0.22213348837486846,1.5241956024080188,197.08950773870637,140.8324688869465,56.467137754697106,8.501244004298465,990.8903583846485,452.66211902728344,48.274040924629105,38.72380146909842,46.655533490241815,36.01744136871112,0.551852432830961,0.6897546569113695,465.2067410256566,0.002902496168704189,0.47005803988593314,0.4709124972605738,2.9589334608161493,88.84844829462232
2045,9293.783346442808,8.173428357352368,0.20610082048006811,0.2763039124560913,0.06357083156957424,-0.012230590463999998,3.4838910000000007,0.057535466632715596,541.4046146336524,11.123664589932911,0.0025,-0.001128125,0.5369872355398027,0.522045776761017,11.691249999406251,0.0456875,1.340625,,0.3379814470925065,196.3822204988284,599.1068466664733,21.130492629139415,64.68514601056839,0.24777185626622594,261.0673665093968,265.08815713764074,261.9761227463786,3.1120343912621187,0.011739620603444266,0.9087562369818233,95.44441729933244,908.3576612334298,2.2956845467540257,95.44441729933244,11456.942075248026,335126.49510426883,0.0421961480838805,0.04372988884411298,3.699734714240783,1.8401367974571117,0.2426061176019298,1.5975306798551818,208.48921049545902,150.13029721194397,60.60914254331591,9.189986913578691,1016.4186371642976,479.9390240691322,49.183011218722385,38.475709100184474,46.21553350647114,36.16930862187703,0.5508929854693769,0.7514012883168546,477.19184843394254,0.0034809262035786223,0.4726294710325617,0.47164090834677674,3.103154228771407,102.06464921139204
2050,9501.598424748781,8.728293215227449,0.1938747857783682,0.2576111216030067,0.0630958338009846,-0.011741366845439997,3.1355019000000004,0.05102681831751864,515.0,12.585405474490715,0.003,-0.00135375,0.47741937304537674,0.45840601130522457,12.037499999687501,0.06562500000000002,1.3287499999999999,,0.3787739506903746,220.71205960295114,677.1923319414271,23.228939988461647,72.47598578462691,0.24719966221275405,293.18804538757803,298.26384140395754,294.4075610046228,3.856280399334736,0.01292909117371667,1.2195156170447248,108.94702989509479,960.8245372791359,2.4062298370742985,108.94702989509479,10915.25327164745,272320.9534029589,0.04150534229227286,0.04335913108547295,3.8552820773332255,1.9311102907941429,0.2637060761549914,1.6674042146391514,219.70969768226175,159.29537126692833,64.6802362194463,9.825351180383093,1041.5106563490194,507.31388093011634,50.08203809882981,37.87077256886448,45.348781137234965,35.92291711092466,0.5482341835691711,0.8163728681938972,488.97213913099506,0.004159499803044814,0.4735295786320614,0.4720015299705565,3.2414228937640552,116.61472567879387
2055,9682.961394142814,9.316100333546176,0.1828206618271585,0.24075195904363936,0.06262438518968289,-0.011271712171622397,2.8219517100000004,0.04744956533608882,512.4314267842313,14.239231116397423,0.0035,-0.001579375,0.4254200792165602,0.402524224033637,12.38374999996875,0.08556250000000001,1.316875,,0.4117052506365771,246.96539911481403,762.2552290095359,25.50515168471109,80.97658302293536,0.24692350303878383,327.9419821377494,334.24892649228116,329.52041790882174,4.7285085834593765,0.014146667973123833,1.5784357710723984,123.87224421246367,1012.466499873042,2.515888439056391,123.87224421246367,10363.765171703102,222039.58763233438,0.04082513155501861,0.04299713115255091,4.005513907277979,2.019994372186273,0.28538410879077103,1.7346102633955018,230.852779482759,168.43218272499996,68.81562557874233,10.522228315757884,1066.622816102259,533.843683770783,50.9563065518007,37.60942545741068,44.89472055982158,35.94928608346055,0.5434446138809944,0.8836150472538307,500.7618854940184,0.004813155548987897,0.47526630984515755,0.47272952876463625,3.376506793396985,132.5447845787911
2060,9840.769455788895,9.93849230378298,0.17280211942118176,0.2255067658446422,0.06215645921656042,-0.0108208436847575,2.5397565390000008,0.04422323540669511,509.87566438082155,16.11038303033978,0.004,-0.001805,0.37994272512233224,0.3534546819587812,12.730000000250001,0.10550000000000001,1.305,,0.44639922006375876,275.2673150292657,854.9870052881782,27.972133303797495,90.23564135616634,0.24688074276753755,365.50295638543207,373.2748247336642,367.5304529337303,5.744371799933918,0.015389121953329138,2.0274965482982465,140.28840179682638,1063.7520800422383,2.6246985220340417,140.28840179682638,9813.560801735503,181650.98900294208,0.0401536970876147,0.042641701894433885,4.149987394474921,2.1068324546623987,0.30758898518044997,1.7992434694819488,241.8493150773876,177.47132627596528,72.93554716883834,11.201540236598559,1091.45772875879,560.2943512834485,51.82054984805441,37.11474562214401,44.16208355087077,35.708734421305444,0.5374803807795603,0.954300822640827,512.4214689008404,0.005547141310015015,0.47633685483938115,0.4732848315614583,3.5070070136953615,149.90333399044087
2065,9977.733279871927,10.59717519137652,0.16370121443959496,0.2116861329222012,0.061692029560657814,-0.0103880099373672,2.2857808851000008,0.041305879442262154,507.3326488955773,18.227419673340176,0.0045000000000000005,-0.0020306250000000003,0.3400954478295329,0.3103669412654861,13.07625000053125,0.1254375,1.2931249999999999,,0.4828092225360147,305.75645271481477,956.0394835259203,30.643879139525303,100.32128575577384,0.24704945938089123,406.0777384705886,415.5805236401108,408.66287514057217,6.917648499538662,0.01664574758929099,2.5851366699835716,158.24635067572535,1114.3630967997076,2.7327018175677438,158.24635067572535,9273.100252231823,149101.91052524923,0.03949143355977708,0.042291672079472015,4.287322448013567,2.191163231016453,0.33026117511108893,1.8609020559053642,252.62437832863725,186.33720381735097,76.95868275747553,11.829357170139648,1115.7496220736034,586.6134747261042,52.671850876979505,36.36720940943624,43.130125313524445,35.18502461635905,0.5300726850705418,1.028337944628211,523.826113649579,0.006366112753976558,0.47671950172939087,0.4735885626985851,3.631812262943026,168.71695372388928
